x,y,z,w
0.1466343,-0.03425232,-0.1927021,0.9696345
0.1465716,-0.03550169,-0.1924618,0.9696468
0.1465216,-0.0367399,-0.1922029,0.9696596
0.1464777,-0.03799871,-0.191925,0.9696727
0.1464456,-0.03925073,-0.1916345,0.9696851
0.1464302,-0.04044659,-0.1913718,0.9696902
0.146403,-0.04164299,-0.1910568,0.9697058
0.1463566,-0.04282776,-0.1907572,0.9697201
0.146287,-0.04399267,-0.1904508,0.9697387
0.1461868,-0.04514782,-0.1901346,0.9697629
0.1460619,-0.04628574,-0.1897593,0.9698015
0.1459066,-0.0474482,-0.1894687,0.9698255
0.1457191,-0.04863036,-0.1891193,0.9698633
0.1454829,-0.04978894,-0.1887915,0.9699039
0.1452429,-0.05096449,-0.1884553,0.9699442
0.1449973,-0.05216657,-0.1881175,0.9699826
0.1447575,-0.05333756,-0.1877748,0.9700211
0.1445264,-0.05445989,-0.1874034,0.9700651
0.1442825,-0.05564568,-0.1870306,0.970106
0.1440354,-0.05684688,-0.1866599,0.9701445
0.1437979,-0.05799632,-0.1862811,0.9701844
0.1436183,-0.05918112,-0.1859177,0.9702092
0.1434331,-0.06039529,-0.185569,0.9702286
0.1432432,-0.06160973,-0.1852468,0.9702418
0.1430557,-0.06286374,-0.1849187,0.9702517
0.142883,-0.06410319,-0.1846295,0.9702511
0.1427224,-0.06533416,-0.1843377,0.970248
0.1425741,-0.06658347,-0.1840468,0.9702402
0.1424534,-0.06785771,-0.1837669,0.9702227
0.1423531,-0.06913574,-0.1834853,0.9702005
0.1422693,-0.07044767,-0.1832485,0.9701632
0.1422,-0.07177839,-0.1829434,0.9701333
0.142176,-0.073136,-0.18269,0.9700832
0.1421904,-0.07449864,-0.1824808,0.9700168
0.1422279,-0.07587055,-0.1822383,0.9699506
0.1422835,-0.07733265,-0.1819625,0.9698787
0.1423643,-0.07884446,-0.1817432,0.9697863
0.1424429,-0.08037648,-0.1814625,0.9697015
0.1425032,-0.0819404,-0.1811661,0.9696172
0.1425537,-0.08351073,-0.180818,0.9695408
0.142575,-0.08509517,-0.180485,0.9694619
0.1425809,-0.08667123,-0.1800514,0.9694021
0.1425771,-0.08832182,-0.179617,0.9693342
0.1425626,-0.08997025,-0.1791831,0.969265
0.1425347,-0.09169193,-0.178685,0.9691998
0.1425116,-0.09342155,-0.1782079,0.9691258
0.142482,-0.09519842,-0.1776998,0.9690505
0.1424413,-0.09707947,-0.1771734,0.9689663
0.1424019,-0.09895347,-0.1766559,0.968877
0.142344,-0.1008592,-0.1761227,0.9687861
0.1422769,-0.1028073,-0.1755845,0.9686888
0.1422181,-0.1047628,-0.1750402,0.9685864
0.142156,-0.106737,-0.1745084,0.968476
0.1420948,-0.1087323,-0.1739784,0.9683583
0.1420154,-0.1107585,-0.1734378,0.9682373
0.1419368,-0.1127588,-0.1729198,0.9681106
0.1418161,-0.1147671,-0.1723759,0.9679893
0.141631,-0.1167661,-0.1718231,0.9678756
0.1414057,-0.118724,-0.1712809,0.9677665
0.1411402,-0.1207105,-0.1707205,0.9676585
0.1408341,-0.1227427,-0.1701707,0.9675443
0.1405062,-0.1248218,-0.1696076,0.9674248
0.1401709,-0.1269177,-0.1690628,0.9672961
0.1398162,-0.1290895,-0.1685291,0.9671532
0.1394664,-0.13128,-0.1679798,0.9670044
0.1391399,-0.1334149,-0.167457,0.9668499
0.1388182,-0.1355457,-0.1669267,0.9666914
0.1385171,-0.1376847,-0.1663611,0.9665298
0.1382542,-0.1397639,-0.1658939,0.9663493
0.1380037,-0.1417466,-0.1654289,0.966176
0.1377363,-0.1437559,-0.1649155,0.9660051
0.1374382,-0.145711,-0.16447,0.9658306
0.1370887,-0.1476532,-0.1639881,0.9656671
0.136652,-0.1496222,-0.1634593,0.9655156
0.1362271,-0.1515488,-0.1629658,0.9653586
0.1357995,-0.1534636,-0.1624386,0.9652053
0.1353508,-0.1554658,-0.1618811,0.9650415
0.1348552,-0.1573681,-0.1613632,0.9648892
0.1343292,-0.1591969,-0.1608046,0.9647559
0.133766,-0.1610344,-0.1601886,0.9646316
0.1331876,-0.16279,-0.1596304,0.9645095
0.1325778,-0.1644772,-0.1590324,0.964406
0.1319214,-0.1662379,-0.1584343,0.9642926
0.1312532,-0.1679198,-0.1578456,0.9641889
0.1305415,-0.1696279,-0.157219,0.9640889
0.1298088,-0.1713864,-0.1565903,0.9639792
0.12912,-0.1731121,-0.155965,0.9638646
0.1284473,-0.1748254,-0.1552917,0.9637541
0.1278472,-0.1764805,-0.1547053,0.9636265
0.1273317,-0.1779738,-0.1541606,0.9635074
0.1268577,-0.1794454,-0.1536158,0.963384
0.1264173,-0.1809692,-0.1531714,0.9632276
0.1259907,-0.182437,-0.1527182,0.9630786
0.1255916,-0.1838614,-0.1522547,0.9629331
0.1252145,-0.1852835,-0.1518562,0.9627726
0.1248885,-0.1866947,-0.1514294,0.9626095
0.124576,-0.1880412,-0.1510149,0.9624531
0.1242692,-0.1894064,-0.1506546,0.9622815
0.1239428,-0.1908482,-0.1502622,0.9621
0.123624,-0.1922568,-0.1498809,0.96192
0.1234066,-0.1935745,-0.1495824,0.9617301
0.1232306,-0.1948619,-0.1493042,0.9615359
0.1230555,-0.1960987,-0.1490424,0.9613475
0.1228503,-0.1972797,-0.1487708,0.9611742
0.1225836,-0.1984865,-0.1484879,0.9610035
0.122312,-0.1996866,-0.1481727,0.9608382
0.1220575,-0.2007738,-0.1478429,0.9606947
0.1218262,-0.2017539,-0.1475358,0.9605659
0.1216113,-0.2026634,-0.1472508,0.9604455
0.1214201,-0.2034562,-0.1469821,0.9603432
0.121244,-0.2041887,-0.1467369,0.9602474
0.121063,-0.2049193,-0.1464654,0.9601561
0.1208939,-0.2055915,-0.146202,0.9600738
0.1207561,-0.2061428,-0.1459909,0.960005
0.1207078,-0.2066524,-0.1458097,0.9599292
0.1206888,-0.2072449,-0.1456293,0.9598312
0.1206987,-0.2078167,-0.1454674,0.9597308
0.1207413,-0.2083378,-0.1453151,0.9596356
0.1208096,-0.2088318,-0.1451868,0.9595389
0.1209245,-0.2092438,-0.1451108,0.9594463
0.1210762,-0.2095701,-0.1450347,0.9593674
0.1212219,-0.2099641,-0.1449608,0.959274
0.1213672,-0.2103537,-0.1448811,0.9591824
0.1215292,-0.2107438,-0.1447758,0.9590921
0.1217305,-0.211072,-0.1447588,0.958997
0.1219507,-0.2113091,-0.144729,0.9589214
0.122153,-0.2115956,-0.1447079,0.9588355
0.1223594,-0.21182,-0.1446802,0.9587638
0.1225804,-0.2119474,-0.14464,0.9587135
0.1227871,-0.2121353,-0.1446088,0.9586502
0.1230017,-0.2122356,-0.1445676,0.9586067
0.1232515,-0.2121441,-0.1445601,0.958596
0.1235172,-0.2119659,-0.1446113,0.9585935
0.1237868,-0.2117267,-0.1446832,0.9586008
0.1240469,-0.2114398,-0.1447473,0.9586208
0.1243112,-0.2110964,-0.1448377,0.9586486
0.1245448,-0.2107837,-0.144911,0.958676
0.1247444,-0.2105039,-0.1449519,0.9587054
0.1249486,-0.2101794,-0.1449765,0.9587462
0.1251761,-0.2098581,-0.1450667,0.9587733
0.125404,-0.2095325,-0.1451835,0.9587971
0.1256166,-0.2091141,-0.1453057,0.958842
0.1257967,-0.2086667,-0.1454871,0.9588884
0.1259298,-0.2081225,-0.1456755,0.9589605
0.1260826,-0.2074873,-0.145883,0.9590465
0.126236,-0.2068608,-0.146102,0.9591283
0.1263756,-0.2062659,-0.1462784,0.9592112
0.1264494,-0.2057052,-0.1464569,0.9592946
0.1265147,-0.2051953,-0.1466096,0.959372
0.1266235,-0.2047163,-0.1467336,0.959441
0.126742,-0.2041803,-0.1468552,0.959521
0.1268612,-0.2036391,-0.1469761,0.9596016
0.1269686,-0.2031237,-0.1470588,0.9596841
0.1271048,-0.2024839,-0.147177,0.9597831
0.1271749,-0.2017562,-0.147296,0.9599088
0.1271992,-0.2010344,-0.1474096,0.9600396
0.1272054,-0.2002444,-0.1475367,0.9601843
0.1272108,-0.1994281,-0.1476937,0.9603293
0.1272216,-0.1986705,-0.1478967,0.9604536
0.1272786,-0.1978097,-0.1481564,0.9605838
0.1273714,-0.1968358,-0.1484857,0.9607207
0.1275102,-0.1957736,-0.1488463,0.9608635
0.127755,-0.1946248,-0.1492128,0.9610075
0.1279971,-0.1934131,-0.1495416,0.9611688
0.1282441,-0.1921386,-0.1498294,0.9613467
0.1285163,-0.190843,-0.1501463,0.9615189
0.1288157,-0.1894386,-0.1504724,0.9617055
0.1291316,-0.1879682,-0.1508275,0.9618961
0.1294761,-0.1864485,-0.1512382,0.962081
0.1298379,-0.1848347,-0.1516546,0.9622781
0.1302033,-0.1831678,-0.1520778,0.9624807
0.1305274,-0.1814309,-0.152541,0.9626924
